ligue,journee,date,heure,equipe1,equipe2,score_equipe1_mt,score_equipe2_mt,score_equipe1_final,score_equipe2_final,total_buts
de.1,Matchday 27,2025-03-30,15:30,SC Freiburg,1. FC Union Berlin,1.0,1.0,1,2,3
de.1,Matchday 27,2025-03-30,17:30,Borussia Dortmund,1. FSV Mainz 05,2.0,0.0,3,1,4
de.1,Matchday 28,2025-04-04,20:30,FC Augsburg,FC Bayern München,1.0,1.0,1,3,4
de.1,Matchday 28,2025-04-05,15:30,1. FC Heidenheim 1846,Bayer 04 Leverkusen,0.0,0.0,0,1,1
de.1,Matchday 28,2025-04-05,15:30,VfL Bochum 1848,VfB Stuttgart,0.0,2.0,0,4,4
de.1,Matchday 28,2025-04-05,15:30,SC Freiburg,Borussia Dortmund,0.0,1.0,1,4,5
de.1,Matchday 28,2025-04-05,15:30,RB Leipzig,TSG 1899 Hoffenheim,2.0,1.0,3,1,4
de.1,Matchday 28,2025-04-05,15:30,1. FSV Mainz 05,Holstein Kiel,0.0,1.0,1,1,2
de.1,Matchday 28,2025-04-05,18:30,SV Werder Bremen,Eintracht Frankfurt,1.0,0.0,2,0,2
de.1,Matchday 28,2025-04-06,15:30,FC St. Pauli 1910,Borussia Mönchengladbach,0.0,1.0,1,1,2
de.1,Matchday 28,2025-04-06,17:30,1. FC Union Berlin,VfL Wolfsburg,0.0,0.0,1,0,1
de.1,Matchday 29,2025-04-11,20:30,VfL Wolfsburg,RB Leipzig,0.0,2.0,2,3,5
de.1,Matchday 29,2025-04-12,15:30,Borussia Mönchengladbach,SC Freiburg,1.0,1.0,1,2,3
de.1,Matchday 29,2025-04-12,15:30,VfL Bochum 1848,FC Augsburg,0.0,1.0,1,2,3
de.1,Matchday 29,2025-04-12,15:30,TSG 1899 Hoffenheim,1. FSV Mainz 05,2.0,0.0,2,0,2
de.1,Matchday 29,2025-04-12,15:30,Bayer 04 Leverkusen,1. FC Union Berlin,,,0,0,0
de.1,Matchday 29,2025-04-12,15:30,Holstein Kiel,FC St. Pauli 1910,1.0,1.0,1,2,3
de.1,Matchday 29,2025-04-12,18:30,FC Bayern München,Borussia Dortmund,0.0,0.0,2,2,4
de.1,Matchday 29,2025-04-13,15:30,VfB Stuttgart,SV Werder Bremen,1.0,1.0,1,2,3
de.1,Matchday 29,2025-04-13,17:30,Eintracht Frankfurt,1. FC Heidenheim 1846,2.0,0.0,3,0,3
de.1,Matchday 30,2025-04-19,15:30,1. FC Heidenheim 1846,FC Bayern München,0.0,3.0,0,4,4
de.1,Matchday 30,2025-04-19,15:30,SC Freiburg,TSG 1899 Hoffenheim,2.0,2.0,3,2,5
de.1,Matchday 30,2025-04-19,15:30,1. FSV Mainz 05,VfL Wolfsburg,2.0,1.0,2,2,4
de.1,Matchday 30,2025-04-19,15:30,SV Werder Bremen,VfL Bochum 1848,0.0,0.0,1,0,1
de.1,Matchday 30,2025-04-19,15:30,RB Leipzig,Holstein Kiel,0.0,1.0,1,1,2
de.1,Matchday 30,2025-04-19,18:30,1. FC Union Berlin,VfB Stuttgart,4.0,4.0,4,4,8
de.1,Matchday 30,2025-04-20,15:30,FC Augsburg,Eintracht Frankfurt,,,0,0,0
de.1,Matchday 30,2025-04-20,17:30,Borussia Dortmund,Borussia Mönchengladbach,3.0,1.0,3,2,5
de.1,Matchday 30,2025-04-20,19:30,FC St. Pauli 1910,Bayer 04 Leverkusen,0.0,1.0,1,1,2
de.1,Matchday 31,2025-04-25,20:30,VfB Stuttgart,1. FC Heidenheim 1846,0.0,0.0,0,1,1
de.1,Matchday 31,2025-04-26,15:30,TSG 1899 Hoffenheim,Borussia Dortmund,0.0,1.0,2,3,5
de.1,Matchday 31,2025-04-26,15:30,VfL Wolfsburg,SC Freiburg,0.0,0.0,0,1,1
de.1,Matchday 31,2025-04-26,15:30,FC Bayern München,1. FSV Mainz 05,2.0,0.0,3,0,3
de.1,Matchday 31,2025-04-26,15:30,Holstein Kiel,Borussia Mönchengladbach,2.0,0.0,4,3,7
de.1,Matchday 31,2025-04-26,15:30,Bayer 04 Leverkusen,FC Augsburg,2.0,0.0,2,0,2
de.1,Matchday 31,2025-04-26,18:30,Eintracht Frankfurt,RB Leipzig,1.0,0.0,4,0,4
de.1,Matchday 31,2025-04-27,15:30,VfL Bochum 1848,1. FC Union Berlin,0.0,1.0,1,1,2
de.1,Matchday 31,2025-04-27,17:30,SV Werder Bremen,FC St. Pauli 1910,,,0,0,0
de.1,Matchday 32,2025-05-02,20:30,1. FC Heidenheim 1846,VfL Bochum 1848,,,0,0,0
de.1,Matchday 32,2025-05-03,15:30,FC St. Pauli 1910,VfB Stuttgart,0.0,0.0,0,1,1
de.1,Matchday 32,2025-05-03,15:30,RB Leipzig,FC Bayern München,2.0,0.0,3,3,6
de.1,Matchday 32,2025-05-03,15:30,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2.0,1.0,4,4,8
de.1,Matchday 32,2025-05-03,15:30,1. FC Union Berlin,SV Werder Bremen,1.0,2.0,2,2,4
de.1,Matchday 32,2025-05-03,18:30,Borussia Dortmund,VfL Wolfsburg,1.0,0.0,4,0,4
de.1,Matchday 32,2025-05-04,15:30,FC Augsburg,Holstein Kiel,0.0,2.0,1,3,4
de.1,Matchday 32,2025-05-04,17:30,SC Freiburg,Bayer 04 Leverkusen,1.0,0.0,2,2,4
de.1,Matchday 32,2025-05-04,19:30,1. FSV Mainz 05,Eintracht Frankfurt,0.0,1.0,1,1,2
de.1,Matchday 33,2025-05-09,20:30,VfL Wolfsburg,TSG 1899 Hoffenheim,1.0,1.0,2,2,4
de.1,Matchday 33,2025-05-10,15:30,SV Werder Bremen,RB Leipzig,,,0,0,0
de.1,Matchday 33,2025-05-10,15:30,1. FC Union Berlin,1. FC Heidenheim 1846,0.0,1.0,0,3,3
de.1,Matchday 33,2025-05-10,15:30,Holstein Kiel,SC Freiburg,1.0,1.0,1,2,3
de.1,Matchday 33,2025-05-10,15:30,VfL Bochum 1848,1. FSV Mainz 05,0.0,1.0,1,4,5
de.1,Matchday 33,2025-05-10,18:30,FC Bayern München,Borussia Mönchengladbach,1.0,0.0,2,0,2
de.1,Matchday 33,2025-05-11,15:30,Bayer 04 Leverkusen,Borussia Dortmund,1.0,2.0,2,4,6
de.1,Matchday 33,2025-05-11,17:30,Eintracht Frankfurt,FC St. Pauli 1910,1.0,2.0,2,2,4
de.1,Matchday 33,2025-05-11,19:30,VfB Stuttgart,FC Augsburg,1.0,0.0,4,0,4
de.1,Matchday 34,2025-05-17,15:30,1. FSV Mainz 05,Bayer 04 Leverkusen,1.0,0.0,2,2,4
de.1,Matchday 34,2025-05-17,15:30,RB Leipzig,VfB Stuttgart,2.0,1.0,2,3,5
de.1,Matchday 34,2025-05-17,15:30,TSG 1899 Hoffenheim,FC Bayern München,0.0,1.0,0,4,4
de.1,Matchday 34,2025-05-17,15:30,SC Freiburg,Eintracht Frankfurt,1.0,1.0,1,3,4
de.1,Matchday 34,2025-05-17,15:30,1. FC Heidenheim 1846,SV Werder Bremen,0.0,2.0,1,4,5
de.1,Matchday 34,2025-05-17,15:30,Borussia Mönchengladbach,VfL Wolfsburg,0.0,0.0,0,1,1
de.1,Matchday 34,2025-05-17,15:30,FC Augsburg,1. FC Union Berlin,1.0,0.0,1,2,3
de.1,Matchday 34,2025-05-17,15:30,FC St. Pauli 1910,VfL Bochum 1848,0.0,1.0,0,2,2
de.1,Matchday 34,2025-05-17,15:30,Borussia Dortmund,Holstein Kiel,1.0,0.0,3,0,3
